date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU-BED-001,2696,0,21,674
2024-01-01,SKU-BED-002,110,293,14,367
2024-01-01,SKU-BED-003,406,464,21,581
2024-01-01,SKU-BED-004,108,0,7,90
2024-01-01,SKU-BED-005,80,92,7,115
2024-01-01,SKU-BED-006,144,384,21,480
2024-01-01,SKU-BED-007,525,0,14,438
2024-01-01,SKU-BED-008,765,0,28,638
2024-01-01,SKU-BED-009,193,516,21,646
2024-01-01,SKU-BED-010,630,0,14,252
2024-01-01,SKU-BED-011,132,353,14,442
2024-01-01,SKU-BED-012,768,0,14,192
2024-01-01,SKU-BED-013,810,0,14,324
2024-01-01,SKU-BED-014,728,0,21,607
2024-01-01,SKU-BED-015,248,0,14,207
2024-01-01,SKU-BED-016,378,432,21,540
2024-01-01,SKU-BED-017,850,0,21,340
2024-01-01,SKU-BED-018,442,0,7,177
2024-01-01,SKU-BED-019,237,634,28,793
2024-01-01,SKU-BED-020,784,0,7,196
2024-01-01,SKU-BED-021,94,252,14,316
2024-01-01,SKU-BED-022,82,0,7,69
2024-01-01,SKU-BED-023,1142,0,21,457
2024-01-01,SKU-BED-024,52,139,7,174
2024-01-01,SKU-BED-025,357,0,28,298
2024-01-01,SKU-BED-026,206,549,28,687
2024-01-01,SKU-BED-027,45,52,7,65
2024-01-01,SKU-BED-028,373,427,28,534
2024-01-01,SKU-BED-029,174,0,7,145
2024-01-01,SKU-BED-030,81,216,14,271
2024-01-01,SKU-BED-031,172,197,14,247
2024-01-01,SKU-BED-032,510,0,14,425
2024-01-01,SKU-BED-033,84,224,14,280
2024-01-01,SKU-BED-034,123,141,14,177
2024-01-01,SKU-BED-035,332,0,21,277
2024-01-01,SKU-BED-036,375,0,7,150
2024-01-01,SKU-BED-037,482,551,28,689
2024-01-01,SKU-BED-038,415,0,7,166
2024-01-01,SKU-BED-039,1085,0,14,434
2024-01-01,SKU-BED-040,2316,0,21,579
2024-01-01,SKU-FUR-041,197,225,14,282
2024-01-01,SKU-FUR-042,120,322,14,403
2024-01-01,SKU-FUR-043,146,389,21,487
2024-01-01,SKU-FUR-044,1170,0,28,468
2024-01-01,SKU-FUR-045,520,0,14,208
2024-01-01,SKU-FUR-046,264,0,7,220
2024-01-01,SKU-FUR-047,1097,0,28,439
2024-01-01,SKU-FUR-048,499,0,21,416
2024-01-01,SKU-FUR-049,907,0,28,756
2024-01-01,SKU-FUR-050,792,0,14,317
2024-01-01,SKU-FUR-051,157,420,21,525
2024-01-01,SKU-FUR-052,1432,0,21,358
2024-01-01,SKU-FUR-053,1752,0,21,438
2024-01-01,SKU-FUR-054,140,0,7,117
2024-01-01,SKU-FUR-055,202,231,14,289
2024-01-01,SKU-FUR-056,85,97,7,122
2024-01-01,SKU-FUR-057,254,0,14,212
2024-01-01,SKU-FUR-058,547,0,14,219
2024-01-01,SKU-FUR-059,342,391,21,489
2024-01-01,SKU-FUR-060,1052,0,14,421
2024-01-01,SKU-FUR-061,1562,0,28,625
2024-01-01,SKU-FUR-062,596,0,7,149
2024-01-01,SKU-FUR-063,85,228,21,285
2024-01-01,SKU-FUR-064,144,165,14,207
2024-01-01,SKU-FUR-065,39,104,7,131
2024-01-01,SKU-FUR-066,374,0,14,312
2024-01-01,SKU-FUR-067,61,164,14,206
2024-01-01,SKU-FUR-068,355,0,7,142
2024-01-01,SKU-FUR-069,382,437,21,547
2024-01-01,SKU-FUR-070,345,0,7,138
2024-01-01,SKU-FUR-071,162,0,7,65
2024-01-01,SKU-FUR-072,1122,0,28,449
2024-01-01,SKU-FUR-073,117,313,21,392
2024-01-01,SKU-FUR-074,257,0,7,103
2024-01-01,SKU-FUR-075,435,0,7,174
2024-01-01,SKU-FUR-076,448,0,21,374
2024-01-01,SKU-FUR-077,620,0,7,155
2024-01-01,SKU-FUR-078,144,386,28,483
2024-01-01,SKU-FUR-079,2764,0,21,691
2024-01-01,SKU-FUR-080,1552,0,28,621
2024-01-01,SKU-DEC-081,146,0,7,122
2024-01-01,SKU-DEC-082,1668,0,21,417
2024-01-01,SKU-DEC-083,1832,0,28,458
2024-01-01,SKU-DEC-084,404,0,7,101
2024-01-01,SKU-DEC-085,460,0,7,184
2024-01-01,SKU-DEC-086,417,0,21,348
2024-01-01,SKU-DEC-087,1877,0,28,751
2024-01-01,SKU-DEC-088,267,712,28,890
2024-01-01,SKU-DEC-089,643,0,21,536
2024-01-01,SKU-DEC-090,1520,0,28,380
2024-01-01,SKU-DEC-091,467,0,7,187
2024-01-01,SKU-DEC-092,130,0,7,109
2024-01-01,SKU-DEC-093,2592,0,28,648
2024-01-01,SKU-DEC-094,1905,0,28,762
2024-01-01,SKU-DEC-095,2612,0,28,653
2024-01-01,SKU-DEC-096,318,364,14,455
2024-01-01,SKU-DEC-097,973,0,28,811
2024-01-01,SKU-DEC-098,562,0,14,225
2024-01-01,SKU-DEC-099,74,197,14,247
2024-01-01,SKU-DEC-100,452,0,7,113
2024-01-01,SKU-DEC-101,724,0,7,181
2024-01-01,SKU-DEC-102,210,0,7,84
2024-01-01,SKU-DEC-103,175,0,7,70
2024-01-01,SKU-DEC-104,86,230,28,288
2024-01-01,SKU-DEC-105,134,358,28,448
2024-01-01,SKU-DEC-106,199,531,21,664
2024-01-01,SKU-DEC-107,425,0,7,170
2024-01-01,SKU-DEC-108,1420,0,21,568
2024-01-01,SKU-DEC-109,960,0,21,240
2024-01-01,SKU-DEC-110,156,0,14,130
2024-01-01,SKU-DEC-111,884,0,14,221
2024-01-01,SKU-DEC-112,357,0,7,143
2024-01-01,SKU-DEC-113,336,384,28,480
2024-01-01,SKU-DEC-114,1125,0,14,450
2024-01-01,SKU-DEC-115,262,0,7,105
2024-01-01,SKU-DEC-116,1557,0,21,623
2024-01-01,SKU-DEC-117,205,0,7,82
2024-01-01,SKU-DEC-118,588,0,14,147
2024-01-01,SKU-DEC-119,727,0,14,291
2024-01-01,SKU-DEC-120,382,0,14,319
2024-01-01,SKU-LIG-121,712,0,7,178
2024-01-01,SKU-LIG-122,423,0,28,353
2024-01-01,SKU-LIG-123,139,159,7,199
2024-01-01,SKU-LIG-124,310,355,14,444
2024-01-01,SKU-LIG-125,577,0,21,231
2024-01-01,SKU-LIG-126,250,0,14,209
2024-01-01,SKU-LIG-127,219,250,14,313
2024-01-01,SKU-LIG-128,1592,0,21,398
2024-01-01,SKU-LIG-129,586,0,21,489
2024-01-01,SKU-LIG-130,49,132,7,166
2024-01-01,SKU-LIG-131,463,0,14,386
2024-01-01,SKU-LIG-132,114,304,21,380
2024-01-01,SKU-LIG-133,193,516,21,646
2024-01-01,SKU-LIG-134,900,0,14,225
2024-01-01,SKU-LIG-135,402,0,7,161
2024-01-01,SKU-LIG-136,162,432,28,540
2024-01-01,SKU-LIG-137,632,0,7,158
2024-01-01,SKU-LIG-138,65,175,21,219
2024-01-01,SKU-LIG-139,67,179,7,224
2024-01-01,SKU-LIG-140,111,127,14,159
2024-01-01,SKU-LIG-141,1528,0,14,382
2024-01-01,SKU-LIG-142,151,403,21,504
2024-01-01,SKU-LIG-143,514,0,28,429
2024-01-01,SKU-LIG-144,214,244,28,306
2024-01-01,SKU-LIG-145,123,0,7,103
2024-01-01,SKU-LIG-146,108,124,7,155
2024-01-01,SKU-LIG-147,26,71,7,89
2024-01-01,SKU-LIG-148,275,315,21,394
2024-01-01,SKU-LIG-149,160,428,21,536
2024-01-01,SKU-LIG-150,1700,0,21,425
2024-01-01,SKU-LIG-151,40,108,14,136
2024-01-01,SKU-LIG-152,100,267,21,334
2024-01-01,SKU-LIG-153,1102,0,28,441
2024-01-01,SKU-LIG-154,2488,0,21,622
2024-01-01,SKU-LIG-155,185,0,7,74
2024-01-01,SKU-LIG-156,255,0,7,102
2024-01-01,SKU-LIG-157,128,0,7,107
2024-01-01,SKU-LIG-158,58,156,7,195
2024-01-01,SKU-LIG-159,194,0,7,162
2024-01-01,SKU-LIG-160,415,475,21,594
2024-01-01,SKU-SMA-161,115,0,7,96
2024-01-01,SKU-SMA-162,57,65,7,82
2024-01-01,SKU-SMA-163,1208,0,21,302
2024-01-01,SKU-SMA-164,422,0,28,352
2024-01-01,SKU-SMA-165,516,0,28,430
2024-01-01,SKU-SMA-166,312,0,21,260
2024-01-01,SKU-SMA-167,43,116,14,146
2024-01-01,SKU-SMA-168,980,0,14,392
2024-01-01,SKU-SMA-169,455,520,28,651
2024-01-01,SKU-SMA-170,966,0,28,805
2024-01-01,SKU-SMA-171,151,173,7,217
2024-01-01,SKU-SMA-172,81,218,14,273
2024-01-01,SKU-SMA-173,1132,0,14,283
2024-01-01,SKU-SMA-174,1824,0,28,456
2024-01-01,SKU-SMA-175,156,0,7,130
2024-01-01,SKU-SMA-176,32,86,7,108
2024-01-01,SKU-SMA-177,2456,0,28,614
2024-01-01,SKU-SMA-178,95,108,7,136
2024-01-01,SKU-SMA-179,147,392,21,490
2024-01-01,SKU-SMA-180,63,169,7,212
2024-01-01,SKU-SMA-181,55,148,7,186
2024-01-01,SKU-SMA-182,1312,0,14,328
2024-01-01,SKU-SMA-183,505,0,21,202
2024-01-01,SKU-SMA-184,91,243,21,304
2024-01-01,SKU-SMA-185,440,0,7,176
2024-01-01,SKU-SMA-186,581,664,28,830
2024-01-01,SKU-SMA-187,580,0,21,484
2024-01-01,SKU-SMA-188,39,105,14,132
2024-01-01,SKU-SMA-189,229,612,28,765
2024-01-01,SKU-SMA-190,500,0,7,200
2024-01-01,SKU-SMA-191,1597,0,28,639
2024-01-01,SKU-SMA-192,955,0,14,382
2024-01-01,SKU-SMA-193,193,221,21,277
2024-01-01,SKU-SMA-194,105,120,7,150
2024-01-01,SKU-SMA-195,384,439,28,549
2024-01-01,SKU-SMA-196,306,350,28,438
2024-01-01,SKU-SMA-197,575,0,7,230
2024-01-01,SKU-SMA-198,1020,0,21,408
2024-01-01,SKU-SMA-199,559,639,28,799
2024-01-01,SKU-SMA-200,562,0,7,225
2024-01-08,SKU-BED-001,268,0,7,224
2024-01-08,SKU-BED-002,1835,0,28,734
2024-01-08,SKU-BED-003,2324,0,21,581
2024-01-08,SKU-BED-004,225,0,7,90
2024-01-08,SKU-BED-005,575,0,14,230
2024-01-08,SKU-BED-006,800,0,14,320
2024-01-08,SKU-BED-007,459,525,21,657
2024-01-08,SKU-BED-008,574,0,21,479
2024-01-08,SKU-BED-009,258,689,28,862
2024-01-08,SKU-BED-010,1008,0,14,252
2024-01-08,SKU-BED-011,66,176,7,221
2024-01-08,SKU-BED-012,240,0,7,96
