sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU-BED-001,Bedding,Bedsheets,2023-02-24,3944.73,5986.16
SKU-BED-002,Bedding,Bedsheets,2023-08-20,1695.88,2709.47
SKU-BED-003,Bedding,Bedsheets,2023-09-04,4157.19,8832.06
SKU-BED-004,Bedding,Bedsheets,2023-08-29,3665.81,5580.27
SKU-BED-005,Bedding,Bedsheets,2023-11-05,1546.24,2866.34
SKU-BED-006,Bedding,Bedsheets,2022-05-23,3499.1,7002.45
SKU-BED-007,Bedding,Bedsheets,2023-02-21,2691.26,4883.15
SKU-BED-008,Bedding,Bedsheets,2023-06-22,4913.75,7392.98
SKU-BED-009,Bedding,Bedsheets,2023-06-26,4279.39,7438.33
SKU-BED-010,Bedding,Bedsheets,2023-08-20,1527.29,3107.19
SKU-BED-011,Bedding,Bedsheets,2022-12-15,828.65,1299.08
SKU-BED-012,Bedding,Bedsheets,2022-08-19,3741.24,7725.62
SKU-BED-013,Bedding,Bedsheets,2022-11-10,3356.5,7321.13
SKU-BED-014,Bedding,Duvets,2022-02-27,749.16,1277.49
SKU-BED-015,Bedding,Duvets,2022-04-20,3825.56,8045.9
SKU-BED-016,Bedding,Duvets,2022-01-24,1396.04,2162.03
SKU-BED-017,Bedding,Duvets,2023-09-12,1599.02,2722.45
SKU-BED-018,Bedding,Duvets,2022-11-08,5175.31,10901.99
SKU-BED-019,Bedding,Duvets,2022-11-24,1884.45,3665.22
SKU-BED-020,Bedding,Duvets,2022-01-15,1227.13,2145.87
SKU-BED-021,Bedding,Duvets,2022-02-07,1821.77,3927.11
SKU-BED-022,Bedding,Duvets,2022-06-04,706.99,1374.73
SKU-BED-023,Bedding,Duvets,2022-11-09,4456.02,7193.72
SKU-BED-024,Bedding,Duvets,2022-05-11,1838.7,3949.11
SKU-BED-025,Bedding,Duvets,2023-10-06,1551.81,2679.97
SKU-BED-026,Bedding,Duvets,2023-01-13,1605.57,2444.43
SKU-BED-027,Bedding,Duvets,2022-05-01,2586.64,3999.8
SKU-BED-028,Bedding,Pillows,2022-01-30,5295.3,9109.37
SKU-BED-029,Bedding,Pillows,2022-02-12,3145.62,6666.44
SKU-BED-030,Bedding,Pillows,2023-03-25,2915.46,4913.76
SKU-BED-031,Bedding,Pillows,2022-04-13,4546.44,8534.96
SKU-BED-032,Bedding,Pillows,2022-11-27,2742.07,5233.17
SKU-BED-033,Bedding,Pillows,2022-06-29,1550.13,3407.61
SKU-BED-034,Bedding,Pillows,2023-08-12,3113.04,6316.51
SKU-BED-035,Bedding,Pillows,2022-01-05,1171.2,1887.96
SKU-BED-036,Bedding,Pillows,2022-11-07,2706.31,4179.81
SKU-BED-037,Bedding,Pillows,2023-03-20,3696.56,6755.96
SKU-BED-038,Bedding,Pillows,2023-11-21,5835.15,12268.67
SKU-BED-039,Bedding,Pillows,2022-06-01,4177.62,6601.42
SKU-BED-040,Bedding,Pillows,2022-12-19,4580.0,9334.13
SKU-FUR-041,Furnishings,Curtains,2022-08-25,935.85,1688.59
SKU-FUR-042,Furnishings,Curtains,2023-03-08,318.5,638.74
SKU-FUR-043,Furnishings,Curtains,2022-07-01,5839.76,11874.41
SKU-FUR-044,Furnishings,Curtains,2023-01-31,5501.98,11605.67
SKU-FUR-045,Furnishings,Curtains,2023-05-13,5097.52,9457.76
SKU-FUR-046,Furnishings,Curtains,2022-05-29,1171.18,2381.9
SKU-FUR-047,Furnishings,Curtains,2023-12-02,5734.95,12305.5
SKU-FUR-048,Furnishings,Curtains,2023-08-10,3713.98,6841.24
SKU-FUR-049,Furnishings,Curtains,2023-01-22,5595.86,11835.83
SKU-FUR-050,Furnishings,Curtains,2022-05-01,1664.88,2778.04
SKU-FUR-051,Furnishings,Cushion Covers,2022-07-23,5697.61,8888.03
SKU-FUR-052,Furnishings,Cushion Covers,2022-06-05,4951.33,10816.62
SKU-FUR-053,Furnishings,Cushion Covers,2022-08-03,4665.26,7417.18
SKU-FUR-054,Furnishings,Cushion Covers,2022-06-10,5697.04,9204.07
SKU-FUR-055,Furnishings,Cushion Covers,2023-04-30,5272.87,9471.11
SKU-FUR-056,Furnishings,Cushion Covers,2023-05-11,5594.81,11350.11
SKU-FUR-057,Furnishings,Cushion Covers,2022-01-14,4363.81,7764.5
SKU-FUR-058,Furnishings,Cushion Covers,2022-06-21,4004.3,7234.45
SKU-FUR-059,Furnishings,Cushion Covers,2023-09-28,2873.47,4808.85
SKU-FUR-060,Furnishings,Cushion Covers,2023-04-11,2227.09,4257.79
SKU-FUR-061,Furnishings,Rugs,2022-02-24,3654.11,5499.56
SKU-FUR-062,Furnishings,Rugs,2023-10-31,635.58,983.36
SKU-FUR-063,Furnishings,Rugs,2023-04-03,5199.92,8057.8
SKU-FUR-064,Furnishings,Rugs,2022-05-29,1887.32,3472.27
SKU-FUR-065,Furnishings,Rugs,2022-04-27,1054.18,2271.61
SKU-FUR-066,Furnishings,Rugs,2022-08-05,3584.41,5986.32
SKU-FUR-067,Furnishings,Rugs,2023-08-25,4902.73,8007.56
SKU-FUR-068,Furnishings,Rugs,2022-10-08,4056.2,7090.27
SKU-FUR-069,Furnishings,Rugs,2022-01-12,2962.04,5954.75
SKU-FUR-070,Furnishings,Rugs,2023-10-01,4024.7,7857.53
SKU-FUR-071,Furnishings,Sofa Throws,2023-08-13,2594.94,4508.74
SKU-FUR-072,Furnishings,Sofa Throws,2022-08-30,1717.34,2804.67
SKU-FUR-073,Furnishings,Sofa Throws,2022-08-16,1099.04,1789.72
SKU-FUR-074,Furnishings,Sofa Throws,2022-09-05,1723.9,3699.98
SKU-FUR-075,Furnishings,Sofa Throws,2023-08-24,4905.73,10297.99
SKU-FUR-076,Furnishings,Sofa Throws,2023-11-17,588.35,1294.07
SKU-FUR-077,Furnishings,Sofa Throws,2023-04-04,5823.28,12511.07
SKU-FUR-078,Furnishings,Sofa Throws,2023-04-28,1247.97,2296.2
SKU-FUR-079,Furnishings,Sofa Throws,2023-06-17,5228.51,11145.67
SKU-FUR-080,Furnishings,Sofa Throws,2023-03-06,2460.15,5387.03
SKU-DEC-081,Home Decor,Candle Holders,2023-02-13,5581.15,11439.07
SKU-DEC-082,Home Decor,Candle Holders,2022-05-12,2711.14,5883.51
SKU-DEC-083,Home Decor,Candle Holders,2023-05-22,4072.67,7496.44
SKU-DEC-084,Home Decor,Candle Holders,2022-04-18,1991.23,4337.09
SKU-DEC-085,Home Decor,Candle Holders,2023-01-15,4493.7,6932.3
SKU-DEC-086,Home Decor,Candle Holders,2022-07-06,625.84,1194.68
SKU-DEC-087,Home Decor,Candle Holders,2023-10-05,5540.51,10370.66
SKU-DEC-088,Home Decor,Candle Holders,2023-05-26,5776.44,8988.59
SKU-DEC-089,Home Decor,Candle Holders,2023-04-06,690.57,1068.71
SKU-DEC-090,Home Decor,Candle Holders,2022-04-28,2601.52,5616.99
SKU-DEC-091,Home Decor,Mirrors,2022-03-08,1703.43,3264.05
SKU-DEC-092,Home Decor,Mirrors,2022-05-03,767.31,1504.05
SKU-DEC-093,Home Decor,Mirrors,2023-05-07,3279.86,7065.78
SKU-DEC-094,Home Decor,Mirrors,2023-03-06,4117.44,7081.7
SKU-DEC-095,Home Decor,Mirrors,2023-01-29,2555.98,5035.75
SKU-DEC-096,Home Decor,Mirrors,2023-09-19,2906.18,6249.2
SKU-DEC-097,Home Decor,Mirrors,2022-05-05,353.1,683.18
SKU-DEC-098,Home Decor,Mirrors,2023-04-28,5977.75,9273.18
SKU-DEC-099,Home Decor,Mirrors,2022-12-10,3183.54,5070.49
SKU-DEC-100,Home Decor,Mirrors,2022-11-19,5320.93,11256.37
SKU-DEC-101,Home Decor,Vases,2022-05-25,1924.43,3476.92
SKU-DEC-102,Home Decor,Vases,2022-02-01,4310.18,8310.78
SKU-DEC-103,Home Decor,Vases,2022-05-14,3314.96,6522.2
SKU-DEC-104,Home Decor,Vases,2023-07-18,2006.46,3941.43
SKU-DEC-105,Home Decor,Vases,2022-05-15,1807.46,3836.87
SKU-DEC-106,Home Decor,Vases,2023-05-01,1186.05,2013.0
SKU-DEC-107,Home Decor,Vases,2022-02-21,4390.39,7211.3
SKU-DEC-108,Home Decor,Vases,2023-03-20,5161.6,9568.5
SKU-DEC-109,Home Decor,Vases,2023-08-30,5460.42,11424.69
SKU-DEC-110,Home Decor,Vases,2023-10-18,3915.42,8146.2
SKU-DEC-111,Home Decor,Wall Art,2022-02-18,320.21,653.16
SKU-DEC-112,Home Decor,Wall Art,2022-09-06,5884.85,9492.89
SKU-DEC-113,Home Decor,Wall Art,2023-11-23,3444.58,6198.11
SKU-DEC-114,Home Decor,Wall Art,2023-07-03,937.68,2026.83
SKU-DEC-115,Home Decor,Wall Art,2022-04-15,3409.86,7106.89
SKU-DEC-116,Home Decor,Wall Art,2023-10-21,3449.39,6211.84
SKU-DEC-117,Home Decor,Wall Art,2023-10-23,2057.07,4380.09
SKU-DEC-118,Home Decor,Wall Art,2023-03-22,5423.87,8933.4
SKU-DEC-119,Home Decor,Wall Art,2022-05-08,4101.52,7167.71
SKU-DEC-120,Home Decor,Wall Art,2022-03-07,5339.57,9528.27
SKU-LIG-121,Lighting,Floor Lamps,2023-04-04,4572.02,9820.86
SKU-LIG-122,Lighting,Floor Lamps,2023-06-04,5228.25,11415.07
SKU-LIG-123,Lighting,Floor Lamps,2022-12-27,5324.07,8078.48
SKU-LIG-124,Lighting,Floor Lamps,2022-01-16,4759.6,8511.11
SKU-LIG-125,Lighting,Floor Lamps,2023-03-04,5225.16,10803.15
SKU-LIG-126,Lighting,Floor Lamps,2022-11-06,1207.43,2403.87
SKU-LIG-127,Lighting,Floor Lamps,2023-04-19,5271.35,11075.19
SKU-LIG-128,Lighting,Floor Lamps,2022-12-09,1437.57,3080.59
SKU-LIG-129,Lighting,Floor Lamps,2023-04-13,2039.59,4194.91
SKU-LIG-130,Lighting,Floor Lamps,2022-10-20,1570.66,3081.67
SKU-LIG-131,Lighting,Floor Lamps,2023-02-20,2171.09,4570.25
SKU-LIG-132,Lighting,Floor Lamps,2022-01-06,2301.53,4272.98
SKU-LIG-133,Lighting,Floor Lamps,2023-11-04,5892.55,11050.6
SKU-LIG-134,Lighting,Pendant Lights,2023-06-03,957.45,2086.55
SKU-LIG-135,Lighting,Pendant Lights,2023-10-24,3609.36,7899.03
SKU-LIG-136,Lighting,Pendant Lights,2023-01-15,917.89,1656.05
SKU-LIG-137,Lighting,Pendant Lights,2023-08-06,2787.45,6101.63
SKU-LIG-138,Lighting,Pendant Lights,2023-03-17,2495.61,4750.67
SKU-LIG-139,Lighting,Pendant Lights,2022-06-18,553.0,998.3
SKU-LIG-140,Lighting,Pendant Lights,2022-01-15,5575.78,10465.27
SKU-LIG-141,Lighting,Pendant Lights,2022-01-21,1423.1,2564.3
SKU-LIG-142,Lighting,Pendant Lights,2022-01-22,5548.39,10742.84
SKU-LIG-143,Lighting,Pendant Lights,2023-01-29,5133.69,10287.03
SKU-LIG-144,Lighting,Pendant Lights,2023-01-02,3190.6,6275.35
SKU-LIG-145,Lighting,Pendant Lights,2023-07-25,2593.68,4427.3
SKU-LIG-146,Lighting,Pendant Lights,2022-11-09,1393.49,2738.84
SKU-LIG-147,Lighting,Table Lamps,2022-03-12,4160.71,8870.48
SKU-LIG-148,Lighting,Table Lamps,2023-12-02,3543.9,6323.21
SKU-LIG-149,Lighting,Table Lamps,2022-04-18,2032.09,3347.11
SKU-LIG-150,Lighting,Table Lamps,2022-09-06,3757.97,6484.66
SKU-LIG-151,Lighting,Table Lamps,2022-08-05,2820.31,4652.36
SKU-LIG-152,Lighting,Table Lamps,2023-06-12,4824.29,10477.79
SKU-LIG-153,Lighting,Table Lamps,2022-01-22,4055.45,6888.79
SKU-LIG-154,Lighting,Table Lamps,2023-04-06,3907.76,6778.52
SKU-LIG-155,Lighting,Table Lamps,2023-05-13,4134.94,6852.62
SKU-LIG-156,Lighting,Table Lamps,2022-08-03,1139.92,1746.76
SKU-LIG-157,Lighting,Table Lamps,2022-08-23,3784.26,7712.1
SKU-LIG-158,Lighting,Table Lamps,2023-05-17,2662.31,5167.11
SKU-LIG-159,Lighting,Table Lamps,2022-10-19,4394.57,7773.05
SKU-LIG-160,Lighting,Table Lamps,2023-11-27,1690.71,3312.51
SKU-SMA-161,Small Appliances,Air Purifiers,2023-08-15,5388.16,11327.57
SKU-SMA-162,Small Appliances,Air Purifiers,2022-06-20,4737.0,7831.16
SKU-SMA-163,Small Appliances,Air Purifiers,2023-07-31,2947.93,5572.13
SKU-SMA-164,Small Appliances,Air Purifiers,2022-01-18,2901.83,5980.65
SKU-SMA-165,Small Appliances,Air Purifiers,2023-01-12,3327.45,6293.03
SKU-SMA-166,Small Appliances,Air Purifiers,2022-03-15,5715.23,12139.14
SKU-SMA-167,Small Appliances,Air Purifiers,2022-09-22,4945.54,10506.38
SKU-SMA-168,Small Appliances,Air Purifiers,2023-06-23,5034.24,9482.04
SKU-SMA-169,Small Appliances,Air Purifiers,2023-03-12,4538.84,8316.39
SKU-SMA-170,Small Appliances,Air Purifiers,2023-02-22,4585.13,9573.31
SKU-SMA-171,Small Appliances,Blenders,2022-03-01,4665.14,8700.07
SKU-SMA-172,Small Appliances,Blenders,2023-02-13,1663.7,3007.82
SKU-SMA-173,Small Appliances,Blenders,2022-05-28,1636.61,2839.67
SKU-SMA-174,Small Appliances,Blenders,2022-11-05,759.29,1219.1
SKU-SMA-175,Small Appliances,Blenders,2023-09-28,4255.51,8487.59
SKU-SMA-176,Small Appliances,Blenders,2022-08-12,2664.75,4614.33
SKU-SMA-177,Small Appliances,Blenders,2022-09-28,2669.91,4391.43
SKU-SMA-178,Small Appliances,Blenders,2023-11-12,2520.02,5137.96
SKU-SMA-179,Small Appliances,Blenders,2022-11-08,5183.37,10552.91
SKU-SMA-180,Small Appliances,Blenders,2023-01-31,3018.78,6520.32
SKU-SMA-181,Small Appliances,Coffee Makers,2022-09-29,4594.81,9637.22
SKU-SMA-182,Small Appliances,Coffee Makers,2022-03-25,3367.86,6783.69
SKU-SMA-183,Small Appliances,Coffee Makers,2023-02-26,5417.52,9977.78
SKU-SMA-184,Small Appliances,Coffee Makers,2022-12-23,2784.27,4232.97
