date,sku_id,units_sold,revenue,unit_price,promo_flag,week,month,season,is_holiday,promo_event,year,day,day_of_week,quarter,lag_1,rolling_7,predicted_demand,on_hand_units,on_order_units,lead_time_days,reorder_point,risk_status,recommendation
2024-01-01,SKU-BED-001,20,119723.2,5986.16,0,1,1,Winter,0,0,2024,1,0,1,0.0,0.0,13.112168112754995,2696,0,21,674,Overstock,Reduce Purchase
2024-01-08,SKU-BED-001,21,125709.36,5986.16,0,2,1,Winter,0,0,2024,8,0,1,25.0,23.571428571428573,21.77,268,0,7,224,Overstock,Reduce Purchase
2024-01-15,SKU-BED-001,27,153544.95,5686.85,1,3,1,Winter,0,0,2024,15,0,1,21.0,23.428571428571427,25.38,2696,0,21,674,Overstock,Reduce Purchase
2024-01-22,SKU-BED-001,17,101764.72,5986.16,0,4,1,Winter,0,0,2024,22,0,1,28.0,24.0,19.36,2696,0,21,674,Overstock,Reduce Purchase
2024-01-29,SKU-BED-001,24,143667.84,5986.16,0,5,1,Winter,0,0,2024,29,0,1,26.0,24.857142857142858,23.54,538,0,14,449,Overstock,Reduce Purchase
2024-02-05,SKU-BED-001,23,117029.52,5088.24,1,6,2,Winter,0,0,2024,5,0,1,34.0,24.285714285714285,23.13,3596,0,28,899,Overstock,Reduce Purchase
2024-02-12,SKU-BED-001,24,143667.84,5986.16,0,7,2,Winter,0,0,2024,12,0,1,27.0,20.428571428571427,15.1,560,0,7,224,Overstock,Reduce Purchase
2024-02-19,SKU-BED-001,17,101764.72,5986.16,0,8,2,Winter,0,0,2024,19,0,1,23.0,21.0,18.233333333333334,1685,0,21,674,Overstock,Reduce Purchase
2024-02-26,SKU-BED-001,20,119723.2,5986.16,0,9,2,Winter,0,0,2024,26,0,1,25.0,22.142857142857142,20.24,538,0,14,449,Overstock,Reduce Purchase
2024-03-04,SKU-BED-001,17,101764.72,5986.16,0,10,3,Spring,0,0,2024,4,0,1,25.0,21.571428571428573,17.79,134,359,14,449,Overstock,Reduce Purchase
2024-03-11,SKU-BED-001,16,95778.56,5986.16,0,11,3,Spring,0,0,2024,11,0,1,32.0,23.142857142857142,17.513333333333335,808,0,21,674,Overstock,Reduce Purchase
2024-03-18,SKU-BED-001,20,119723.2,5986.16,0,12,3,Spring,0,0,2024,18,0,1,25.0,20.857142857142858,18.54,268,0,7,224,Overstock,Reduce Purchase
2024-03-25,SKU-BED-001,20,119723.2,5986.16,0,13,3,Spring,1,0,2024,25,0,1,18.0,21.428571428571427,20.75333333333333,896,0,7,224,Overstock,Reduce Purchase
2024-04-01,SKU-BED-001,32,191557.12,5986.16,0,14,4,Spring,0,0,2024,1,0,2,27.0,25.714285714285715,29.42,1685,0,21,674,Overstock,Reduce Purchase
2024-04-08,SKU-BED-001,16,95778.56,5986.16,0,15,4,Spring,0,0,2024,8,0,2,24.0,24.0,19.4,202,539,21,674,Overstock,Reduce Purchase
2024-04-15,SKU-BED-001,20,119723.2,5986.16,0,16,4,Spring,0,0,2024,15,0,2,19.0,21.0,19.67,268,0,7,224,Overstock,Reduce Purchase
2024-04-22,SKU-BED-001,23,123913.42,5387.54,1,17,4,Spring,0,0,2024,22,0,2,37.0,27.142857142857142,25.16,629,719,28,899,Overstock,Reduce Purchase
2024-04-29,SKU-BED-001,25,149654.0,5986.16,0,18,4,Spring,0,0,2024,29,0,2,30.0,27.571428571428573,24.54,1685,0,21,674,Overstock,Reduce Purchase
2024-05-06,SKU-BED-001,15,89792.4,5986.16,0,19,5,Spring,0,0,2024,6,0,2,25.0,21.142857142857142,16.8,202,539,21,674,Overstock,Reduce Purchase
